judge	cell	accuracy	stderr	file
ollama/qwen2.5:3b	consultancy_full	0.753	0.025	2026-07-22T09-35-43-00-00_consultancy-full_2YrCcqYZprhVXuqj48z4Yv.eval
ollama/qwen2.5:3b	consultancy_none	0.637	0.028	2026-07-22T07-41-03-00-00_consultancy-none_DCQxd4XBVi57BUGkb63Unp.eval
ollama/qwen2.5:3b	consultancy_obscured	0.500	0.029	2026-07-22T08-07-47-00-00_consultancy-obscured_NduiEgdVJqakXGc8doSnRT.eval
ollama/qwen2.5:3b	debate_full	0.860	0.020	2026-07-22T08-46-57-00-00_debate-full_TEPrWVLjFBoegyrM4mPkAj.eval
ollama/qwen2.5:3b	debate_none	0.753	0.025	2026-07-22T05-42-18-00-00_debate-none_9cUhY6MMzEZgLJZuaYWsJb.eval
ollama/qwen2.5:3b	debate_obscured	0.623	0.028	2026-07-22T06-44-31-00-00_debate-obscured_98sBYKjhNh4h4mgQg7NQib.eval
ollama/qwen2.5:3b	direct_full	0.830	0.022	2026-07-22T08-40-59-00-00_direct-full_ZdrpEYfPiJwpmAw3QnxXGV.eval
ollama/qwen2.5:3b	direct_none	0.510	0.029	2026-07-22T06-30-40-00-00_direct-none_h73eLrYPtn7WkUiD86GaZ6.eval
ollama/qwen2.5:3b	direct_obscured	0.443	0.029	2026-07-22T06-35-37-00-00_direct-obscured_krJnCmL9DywJtHNcUwxs4k.eval
ollama/qwen2.5:7b	consultancy_full	0.757	0.025	2026-07-22T05-16-56-00-00_consultancy-full_XRNpjNCzZJQZJtc96E6d7r.eval
ollama/qwen2.5:7b	consultancy_none	0.660	0.027	2026-07-22T03-30-30-00-00_consultancy-none_5C3QSLy9JHBtWMLLQfJt6V.eval
ollama/qwen2.5:7b	consultancy_obscured	0.447	0.029	2026-07-22T03-53-42-00-00_consultancy-obscured_ezYWgVq62DXbZJyRmvFBUZ.eval
ollama/qwen2.5:7b	debate_full	0.840	0.021	2026-07-22T04-29-54-00-00_debate-full_Hf2nRDoa7uhMPvsUgj9fZT.eval
ollama/qwen2.5:7b	debate_none	0.743	0.025	2026-07-22T01-41-41-00-00_debate-none_V8SKG9a6yCARFPrX2sQ8M6.eval
ollama/qwen2.5:7b	debate_obscured	0.633	0.028	2026-07-22T02-41-39-00-00_debate-obscured_UJHmPWAJi9fJQD8msQvniT.eval
ollama/qwen2.5:7b	direct_full	0.827	0.022	2026-07-22T04-24-00-00-00_direct-full_iwxPTVVexvF8RcEnVe2LPX.eval
ollama/qwen2.5:7b	direct_none	0.537	0.029	2026-07-22T02-27-39-00-00_direct-none_55tTZy3EWfsTpMPwQTqQGa.eval
ollama/qwen2.5:7b	direct_obscured	0.447	0.029	2026-07-22T02-32-29-00-00_direct-obscured_egWrz3YyfPFXxSckBAvWXb.eval
